	s_MAIN_ID	s_RA	s_DEC	s_RA_PREC	s_DEC_PREC	s_COO_ERR_MAJA	s_COO_ERR_MINA	s_COO_ERR_ANGLE	s_COO_QUAL	s_COO_WAVELENGTH	s_COO_BIBCODE	s_class	s_glat	s_glon	join
545	b'CD-46  4394'	08 38 14.5235	-47 14 40.380	14.0	14.0	0.022900000214576718	0.02370000071823597	90.0	A	O	b'2018yCat.1345....0G'	B	-3.6308219737085135	265.50870003733826	-1.0
546	b'HS 2357+2201'	00 00 18.4042	+22 18 02.957	14.0	14.0	0.06369999796152115	0.03130000084638596	90.0	A	O	b'2018yCat.1345....0G'	B	-39.04872547671603	107.64874504572315	-1.0
547	b'[MA93]  755'	00 54 21.1737	-73 16 31.868	14.0	14.0	0.03950000181794167	0.028100000694394108	90.0	A	O	b'2018yCat.1345....0G'	B	-43.85108760973383	302.6411281218979	-1.0
548	b'PG 2230+121'	22 33 14.9074	+12 19 34.061	14.0	14.0	0.1264999955892563	0.16599999368190765	90.0	A	O	b'2018yCat.1345....0G'	B	-38.228996355262325	78.08112971116994	-1.0
549	b'EM* GGA  280'	04 06.3	+47 46	3.0	3.0			0.0	E		b'1956BOTT....2n..19G'	B	-3.2721672459837037	153.32358772483926	-1.0
550	b'LS III +56   38'	22 18 39.4939	+56 56 31.847	14.0	14.0	0.02390000037848949	0.025299999862909317	90.0	A	O	b'2018yCat.1345....0G'	B	0.036022550589189184	103.21979169582136	-1.0
551	b'EC 11198-2203'	11 22 19.8050	-22 19 48.340	14.0	14.0	0.08160000294446945	0.0632999986410141	90.0	A	O	b'2018yCat.1345....0G'	B	36.05455438194597	277.2270550723988	-1.0
552	b'LS   I +58  102'	02 58 42.5240	+58 47 27.887	14.0	14.0	0.027300000190734863	0.0272000003606081	90.0	A	O	b'2018yCat.1345....0G'	B	-0.10673295161213184	138.78575001203805	-1.0
553	b'SDSS J211158.65-065010.8'	21 11 58.6517	-06 50 10.866	14.0	14.0	2.492300033569336	1.4602999687194824	90.0	A	O	b'2018yCat.1345....0G'	B	-34.25154816917029	43.712953086222754	-1.0
554	b'KUV 23223+1116'	23 24 52.0325	+11 32 28.923	14.0	14.0	0.07490000128746033	0.04740000143647194	90.0	A	O	b'2018yCat.1345....0G'	B	-45.995735381429405	91.58910104688783	-1.0
555	b'CD-30  5559'	08 04 28.5785	-30 58 21.309	14.0	14.0	0.015799999237060547	0.02239999920129776	90.0	A	O	b'2018yCat.1345....0G'	B	0.2538747659109903	248.41885438353737	-1.0
556	b'SDSS J090047.08+132242.2'	09 00 47.0920	+13 22 42.287	14.0	14.0	0.3375999927520752	0.2768999934196472	90.0	A	O	b'2018yCat.1345....0G'	B	34.655244832133874	215.11661168463368	-1.0
557	b'2dFGRS TGN240Z273'	11 44 36.3373	-02 20 17.019	14.0	14.0	0.0625	0.03770000115036965	90.0	A	O	b'2018yCat.1345....0G'	B	56.41880513254614	271.64396479834306	-1.0
558	b'EC 19590-4105'	20 02 28.8	-40 57 21	5.0	5.0			0.0	D	O	b'2013MNRAS.431..240O'	B	-30.2592653623869	359.3058391743392	-1.0
559	b'EM* GGA    2'	00 50 05.9727	+64 45 35.076	14.0	14.0	0.07349999994039537	0.08860000222921371	90.0	A	O	b'2018yCat.1345....0G'	B	1.8883667097485792	122.78917352195705	-1.0
560	b'SDSS J170256.37+241757.7'	17 02 56.3770	+24 17 57.774	14.0	14.0	0.15379999577999115	0.18649999797344208	90.0	A	O	b'2018yCat.1345....0G'	B	33.88036746665418	45.224741837579614	-1.0
561	b'LS   I +63   81'	00 33 12.2935	+63 17 45.627	14.0	14.0	0.02390000037848949	0.0227000005543232	90.0	A	O	b'2018yCat.1345....0G'	B	0.4967416723835609	120.88517886765136	-1.0
562	b'BD+41  3698'	20 18 46.0211	+42 25 24.841	14.0	14.0	0.021199999377131462	0.023099999874830246	90.0	A	O	b'2018yCat.1345....0G'	B	3.628589277566459	79.56959515243331	-1.0
563	b'USNO-A2.0 1500-06147501'	16 47 53.8207	+63 58 33.841	14.0	14.0	0.3722000122070313	0.4675000011920929	90.0	A	O	b'2018yCat.1345....0G'	B	37.60344266647078	94.5552383919307	-1.0
564	b'SDSS J173812.43+263408.5'	17 38 12.4305	+26 34 08.569	14.0	14.0	0.02199999988079071	0.028200000524520874	90.0	A	O	b'2018yCat.1345....0G'	B	27.000000452194854	50.5689814852836	-1.0
565	b'SDSS J105700.58+593015.3'	10 57 00.6047	+59 30 15.297	14.0	14.0	0.09539999812841417	0.10729999840259552	90.0	A	O	b'2018yCat.1345....0G'	B	52.13111312837353	146.2491801024577	-1.0
566	b'FBS 2212+335'	22 15 05.7509	+33 44 56.446	14.0	14.0	0.027300000190734863	0.032600000500679016	90.0	A	O	b'2018yCat.1345....0G'	B	-18.727821075186995	89.32184887416955	-1.0
567	b'SDSS J141011.56+265303.2'	14 10 11.5696	+26 53 03.119	14.0	14.0	0.119999997317791	0.149399995803833	90.0	A	O	b'2018yCat.1345....0G'	B	72.47446904947722	36.64811650692422	-1.0
568	b'EC 21206-3015'	21 23 35.9	-30 02 14	5.0	5.0			0.0	D	O	b'2015MNRAS.453.1879K'	B	-44.66961571512023	16.409775150955934	-1.0
569	b'LS   I +56   76'	02 52 09.4694	+56 46 48.657	14.0	14.0	0.02459999918937683	0.02630000002682209	90.0	A	O	b'2018yCat.1345....0G'	B	-2.293943182308755	138.9318561962603	-1.0
570	b'CPD-73   420'	06 57 36.93	-73 24 49.6	6.0	6.0	3000.0	3000.0	0.0	D	U	b'2012MNRAS.427.2180N'	B	-25.4779520836514	284.5050496169958	-1.0
571	b'LS   V +57   54'	02 42 37.5402	+57 49 57.903	8.0	8.0	0.3970000147819519	0.18400000035762787	90.0	A	O	b'2016A&A...595A...2G'	B	-1.90012576773484	137.31549852539024	-1.0
572	b'EC 19277-5829'	19 31 57.5	-58 22 43	5.0	5.0			0.0	D	O	b'2013MNRAS.431..240O'	B	-28.057420447654295	338.72543394012973	-1.0
573	b'SDSS J172805.39+535959.6'	17 28 05.3904	+53 59 59.565	14.0	14.0	0.35190001130104065	0.34279999136924744	90.0	A	O	b'2018yCat.1345....0G'	B	33.709251747801034	81.60336956157136	-1.0
